epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1073.61,0.71343,1.44967,0.65752,1.12837,0.89183,0.55462,0.64486,0.44015,0.90535,0.56303,0.63939,0.35078,1.15226,2.54587,1.05451,1.44836,0.000604,0.000604,0.000604
42,1093.34,0.71698,1.49682,0.6541,1.12144,0.89504,0.57327,0.6401,0.41682,0.86073,0.54534,0.59898,0.35299,1.2892,2.7479,1.07591,1.56599,0.0005941,0.0005941,0.0005941
43,1113,0.72796,1.54443,0.67419,1.13261,0.79064,0.60298,0.65126,0.42668,0.79598,0.60504,0.65378,0.35569,1.26381,2.62965,1.08831,1.52961,0.0005842,0.0005842,0.0005842
44,1132.39,0.71812,1.44111,0.65182,1.12767,0.80704,0.57992,0.65768,0.41616,0.80127,0.57601,0.6419,0.3522,1.23877,2.55089,1.09681,1.51104,0.0005743,0.0005743,0.0005743
45,1151.95,0.73345,1.49108,0.68059,1.13544,0.78095,0.59919,0.65157,0.42358,0.78095,0.59919,0.63877,0.3624,1.25584,2.57662,1.05614,1.49375,0.0005644,0.0005644,0.0005644
46,1171.41,0.70193,1.44946,0.64132,1.10914,0.81854,0.57983,0.65045,0.44004,0.81565,0.55773,0.6312,0.34794,1.18553,2.60076,1.00921,1.46914,0.0005545,0.0005545,0.0005545
47,1191.02,0.68231,1.4023,0.615,1.0944,0.81526,0.57143,0.64696,0.43096,0.84085,0.55882,0.63453,0.35189,1.21511,2.56915,0.99829,1.47714,0.0005446,0.0005446,0.0005446
48,1210.67,0.70164,1.43504,0.64347,1.1058,0.7794,0.58824,0.64944,0.42554,0.78519,0.59244,0.64229,0.36368,1.22435,2.45204,1.04058,1.4919,0.0005347,0.0005347,0.0005347
49,1230.11,0.67146,1.38828,0.61007,1.10351,0.8026,0.58824,0.65517,0.43135,0.8665,0.57273,0.64566,0.36558,1.22439,2.48696,1.01117,1.46956,0.0005248,0.0005248,0.0005248
50,1249.8,0.64654,1.34489,0.588,1.08122,0.87027,0.59244,0.6758,0.44829,0.84411,0.60504,0.66174,0.3818,1.22774,2.45461,0.97786,1.4942,0.0005149,0.0005149,0.0005149
